corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
625,636,he/she is explaining it (refers to a Biblical text),FullEventful,tekohsihsiha,tekohsihsiha,tekohsihsihsko'i,tuwohsihsanhv'i,thohsihsa,tsuwohsihsohti
626,637,he/she is deciding,FullEventful,tekukhtiha,tekukotiha,tekukhtihsko'i,tuwukhthanv'i,thukhta,tsuwukhtohti
627,638,he/she is washing (refers to dishes),FullEventful,tekvtiye'a,tekvtiye'a,tekvtiyehsko'i,tuwatiye'v'i,thvtiya,tsuwatiyeti
628,639,he/she is shelling (refers to peas‚ nut meats‚ etc),FullEventful,tekvthohi'a,tekvthohi'a,tekvthohihsko'i,tuwvthohihsv'i,thvthohi,tsuwvthohihsti
630,641,he/she is turning him/her over,FullEventful,tekhalihkwateka,tetsilihkwateka,tekhalihkwateko'i,tulhihkwatinvhsv'i,thilihkwatuka,tsulhihkwatinvti
631,642,he/she is singing,FullEventful,tekhanoki'a,tetsinoki'a,tekhanokihsko'i,tunhokihsv'i,thinhoki,tsunhokihsti
632,643,he/she is clawing him/her,FullEventful,tekhanukohska,tetsinukohska,tekhanukohsko'i,tunhukohsv'i,thinukola,tsunhukohsti
634,645,he/she is washing (refers to flexible objects including clothes),FullEventful,tekhkilo'a,tekvkilo'a,tekhkilohsko'i,tuhkilo'v'i,thvhkilotsa,tsuhkilohsti
722,740,he/she is confronted with it,FullEventful,tutlohska,takwatlohska,tutlohsko'i,tutlohsv'i,titsatlohi,tsutlohihsti
723,741,he/she is called,FullEventful,tuto'a,takwato'a,tuto'o'i,tuto'v'i,tetsato'ehsti,tsutohsti
723,741,he/she is called,FullStative,tuto'a,takwato'a,tuto'o'i,tuto'v'i,tetsato'ehsti,tsutohsti
723,741,he/she is called,InfEventful,tuto'a,takwato'a,tuto'o'i,tuto'v'i,tetsato'ehsti,tsutohsti
724,742,he/she is staggering,FullEventful,tutokhtiha,takwatokhtiha,tutokhtihsko'i,tutokhthanv'i,titsatokhta,tsutokhtohti
725,743,he/she is getting a rash,FullEventful,tukwenothihska,takikwenothihska,tukwenothihsko'i,tukwenothihsv'i,titsakwenothihi,tsukwenothihsti
726,744,he/she has horns,FullStative,tulhka,takilhka,tulhko'i,tulhkv'i,tetsalhkehsti,
727,745,he/she is sneezing,FullEventful,tuyhvhstoyhska,takhiyvhstoyhska,tuyhvhstoyhsko'i,tuyhvhstoyhv'i,titshayvhstoyha,tsuyhvhstoyhsti
728,746,he/she is vomiting,FullEventful,tukhstiha,takikhstiha,tukhstihsko'i,tukhsthanv'i,titsakhsta,tsukhstohti
729,747,he/she is wearing glasses,FullStative,tukhthinvtha,takwakhthinvtha,tukhthinvtho'i,tukhthinvthv'i,tetsakhthinvthehsti,tsukhthinvthti
729,747,he/she is wearing glasses,InfEventful,tukhthinvtha,takwakhthinvtha,tukhthinvtho'i,tukhthinvthv'i,tetsakhthinvthehsti,tsukhthinvthti
730,748,he/she is wearing shoes,FullStative,tulahsulha,takwalahsulha,tulahsulho'i,tulahsulhv'i,tetsalahsulhehsti,
732,750,he/she is wearing gloves,FullEventful,tuliyehsula,takwaliyehsula,tuliyehsulo'i,tuliyehsulv'i,thaliyehsulvka,tsuliyehsuloti
733,751,he/she is wearing socks,FullStative,tuliyoha,takwaliyoha,tuliyoho'i,tuliyohv'i,tetsaliyohehsti,
735,753,he/she is working,FullEventful,tulvwhihstaneha,takilvwhihstaneha,tulvwhihstaneho'i,tulvwhihstanelv'i,titsalvwhihstahsi,tsulvwhihstanehti
